,reviews
10,check in agent at lhr was very helpful and friendly as were the in flight crew seat was comfortable with good leg room however the food was poor  barely better than economy class with a poor quality and limited selection of wine in flight entertainment selections were very limited far inferior to what ba used to offer overall this premium economy product was disappointing and very poor value for money
11,y disappointing i book ba so i can fly during the day my return flight at 6pm on 28123 was cancelled replaced by a flight at 9pm it took off 12 hour late meaning i arrived at gatwick well after midnight with no onward transport connections i had to pay 70 for a taxi home plus the seats are really snug im only 57 but my knees were hitting the seat in front no more ba for me they are trading on their name but the customer service and reliability has deteriorated ryanair has better aircraft and takeoff slots
12,excellent service both on the ground and on board  while their first class product might not be leading edge the service around the entire experience was well worth the cost of the ticket the concorde room at heathrow is well managed and a great place to relax prior to the trip flight was slightly delayed out of heathrow but arrived on schedule in johannesburg
13,good lounge at cape town on time departure drinks high quality sound dinner service breakfast reasonable arrival lounge was good but showers cold
14,a really excellent journey lounge not overcrowded in late afternoon plenty of edible food easy boarding new club world suites great and compared to when we last travelled in them a year ago food and drink back to previous standards choice of individual wines rather than bland blends courses served individually with cut glass and china beef cheek really tasty as was a surprisingly good soup crew excellent good choice of movies breakfast after a good nights sleep fruits etc first couldnt manage the full english which was offered arrival on time what more could you want not quite up to gulf standards overall but ba seems to have eventually got its business class back to standard
15,his flight was one of the worst i have ever had in my life i wanted to pamper myself so i bought business class i was looking forward to my new experience i will not mention the chaos of changing gates several times as these things may happen what surprised me was the lack of attention to passengers the flight was delayed by almost 3 hours even though staff offered vouchers we had no idea where to get them and we were told that we only had about 10 minutes to use them because boarding had already begun firstly i did not see anyone with the voucher and secondly even if we got it we were not able to use it when i finally got to the airport there was another waiting for about 30 minutes after cross check meantime we were told that due to problems they did not load any food so the flight will be without any food on board the only food offered and given to everyone on the plane was a small bag of nuts as a business class passenger i was offered drinks only all in all my business class contained 3 small glasses of juice   i received no apology or compensation from the company at all it was a disgraceful and cheap service for a very expensive price
16,it seems that there is a race to the bottom amongst airlines i cannot even check in because ba requires the submission of documents for covid restrictions however the form to start the submission process is hopelessly broken after clicking submit the form just hangs forever no error message is given i tried three different browsers on three different devices all have the same hang which means you cannot check in online nor can you select a seat i tried using the chat bot but after 30 minutes of clicking try again i thought i had donated enough time to ba
17,as a spanish born individual living in england i have been using british airways for over 3 decades multiple times a year on 12th january 2023 i booked a flight for my son and i to go to alicante however i was informed on the 17th january 2023 by my doctors that i am unable to fly due to an elbow operation i have had as a result i decided to give my ticket to my daughter calling up the customer service team for british airways to make the change on the 18th january 2023 they took my enquiry call there seemed to be some speech delay in the call which presented a small bit of difficulty however i also struggled to understand the support staff member on top of this delay when requesting to change the name on one of the tickets to my daughters name i was told this is not within the policy and that i would need to cancel the ticket and rebook it i was encouraged to divide the booking so myself and my son were on two different booking reference numbers i accepted this and was then asked if i would like to cancel the booking i insisted i would need to know the total of the refund its lucky i did ask to check this as i was then informed it would be roughly 900 the total cost of my booking was 39464 which comes to 19732 per passenger leaving my refund total at less than 3 of the value of my purchase this is despite the seat not be abandoned according to ba  policy all i am entitled to out of a simple change of name is less than 3 refund even when im buying the ticket right back then and there on the phone probably for more money than it was worth a week ago
18,a rather empty and quiet flight to tel aviv very friendly cabin crew and due to the emptiness of the flight i had an entire row to myself which allowed me to work easily and have as much space as required unfortunately upon landing the breaks overheated and we had to wait for the fire crew to cool them down which delayed us otherwise an overall excellent flight on bas part this was the first time i have flown this flight and it has actually taken off at the correct time
19,easy check in and staff member was polite and helpful and made a specific point of acknowledging our loyalty to ba security at london was fast galleries north was fine and showers were good organised flight boarding plane was fine with good crew and new club world product my wife had a damaged storage area but otherwise ok after take off there was a good drinks and food service which was well run slept well on time arrival we both found the new seat design harder to sleep in
20,being a silver flyer and booking a flight through ba to dublin you would have thought i could use the lounge even though ba used air lingus for the flight travelled recently there with the same situation and was allowed in by a kind gentleman at the desk even though he said i had to be gold  he was really accommodating and it wasnt a big deal but the two ladies on the desk were like no no empathy there at allsaying the other guy shouldnt have let me and they will have a word with him  come on ba i booked the flight through you and you made me fly with air lingus so you should let me use the lounge as a silver flier
21,i find ba incredibly tacky and constantly looking for ways to get money out of customers i have travelled using major airlines my whole life and although i know it sounds silly  when on a 4 hour flight on a major airline you do expect some form of beverage or snack as a curtesy and a port to charge your phone and not have to pay insane prices for luggage there was no inflight entertainment and the aircraft was very snug when i challenged why i had to pay for my own drink and why no inflight entertainment  i was told it was a short haul fight my sisters met me from cairo which is an hour and half flight and flew egyptair and somehow received luggage allowance drinks food and inflight entertainment as well as a usb port to charge their phones ba i now realise stands for budget airline staff were great  what you got for your money not so much
22,flew atl to lhr 8th jan 2023 was unlucky enough to be on board a 23 year old 777 refit gave it a decent ife screen and the seat looked decent although combine the ife with the cheap and nasty earbuds and any movie can be ruined headrest was great just a pity little padding is used on the seat as my wife and i were very uncomfortable the leg room in general is poor especially when passengers keep their seat reclined from start to finish zero room aircraft was tired rubber spacers falling out silicone sealer falling apart in the toilets toilet seats old stained rubber on arm rest was hanging off no post take off drinkssnacks offered  meal was sent out after a couple of hours was poor chicken cubes that reminded me of dog food mashed potatoes that were purified within an inch of their life stale rock hard roll salad which was rice and carrots dried crackers with no cheese kids meal was just as sad tiny leaf salad with enough dressing to refloat a shipwreck coffee creamer was given with the kids meal snack was decent for the adults bagel with cheese and egg hot and tasty kids snack was a green wrap with spinach and onions in it  very very poor mix the food ba service with a grunt being crammed into a seat for 7 hours landing at a remote stand and enduring a bus to the terminal and ba in my opinion is terrible this flight was so disappointing other than one great member of cabin crew everything else was just average
23,great thing about british airways a380 is the economy section upstairs get this if you can as it allows you to have small stowage cupboards at the window seats despite being not very old the a380 looked tired inside broken side stowage a seat that reclined uncontrollably and slow to react ife the food was supposed to be christmas dinner 3 wafer thin bits of dry turkey 4 over cooked sprouts and some cubed potatoes poor in taste and quality mousse desert was great though slight issue during the snack meal ordered a childs option which was marked as such regular meal arrived as well and they were exactly the same asked a crew member to be told the difference was the sticker on the box staff were ok couple decent but mostly just ok overall ba just seems a tad cheap these days great to sit upstairs but that was where the enjoyment ended just seemed a bit dull and like ba are just an average airline
24,the staff are friendly the plane was cold we were shivering they gave light blankets but they were not enough meals were basic entertainment was basic luggage is delayed today is day 6 and ba staff over the phone say call after 72 hours tracking system is very vague had to extract information from staff that they arrived to vancouver on jan 2nd i offered to collect baggage but very vague answer call the airport asked her for ba phone number at yvr but she said we dont have a phone number for you to call call the main airport their policy states you can make a claim only after 21 days
25,probably the worst business class experience ive ever had on an airline just a few of the issues required to purchase seats on international club world business class this was not made known during the ticket purchase process and cost me an additional 600 on a single leg lhrlax for a family of four given the very strange business class seating layout on ba a380s leaving the seat selection to change could have been disastrous for my family ridiculously long boarding times on even small aircraft on my vielhr leg the boarding time for the a320 was over 50 minutes long leading to a delayed departure there was no urgency on the part of staff to speed up the boarding times severe overcrowding in the boarding area in satellite c of terminal 5 at heathrow boarding staff would not allow passengers to enter the roped off queue area before boarding i have no idea why not and so crowding was extreme the overall boarding area was far too small for an a380 and i believe this satellite was designed and built after the first a380s were delivered online checkin in advance of flights appears to be completely broken i was urged repeatedly on the ba website and via email and text to upload my covid documents even though at the end of 2022 there are no covid documents required for travel after i filled in basic contact information on the website  and did not upload any covid documentation  i was informed several hours later that my covid documents have been verified i then received another text message urging me to upload my covid documentation on the vielhr leg the shopbacom page that one is directed to after attempting to connect to wifi on the plane indicated ridiculously incorrect remaining flight times  over six hours and then four hours just before landing ba lounges for club europe and club world at heathrow are often seriously overcrowded furniture and carpeting and other finishes in the clubs are worn or dirty that said the food in the lounges was of pretty good quality the food quality in ba lounges at heathrow may be the only redeeming thing about this airline onboard food and beverage service was far below average for international business class terrible one might say on the lhrlax leg there was no premeal beverage service and there were no midflight beverage services at all unlike most business class offerings on other airlines there was no taking a meal order by flight attendants at the beginning of the flight meals were brought out haphazardly shortly after take off with the chicken or fish type of meal selection similar to economy class there was no coffee or tea service after meals food quality was poor with the prelanding snack of a ploughmans lunch being downright disgusting  there was no beverage or bar setup in the galley areas  beverages available to passengers during the flight  as is standard on most international business class offerings even bottles of water seemed be hidden away requiring one to ask the flight attendants for water i wont comment on the bizarre seating layout on the a380 as others have rightly panned the awkwardness and extremely poor design of the seating the seats are not 6 2 long as stated on the ba website and i found the seats too short for my 6 2 height the priority luggage tags were not followed in the baggage delivery
26,definitely not recommended especially for business class the seats are ridiculous and small the food is mediocre if that and good luck with the internet even if you pay for full internet for the entire flight the service however has been great my attendant saved me from crying i dont know who designed this aircraft but in this expensive business class in order to move out of you middle seat to go to the bathroom you must rudely climb over the persons legs sitting in the aisle seat your seat is like an enclosed tiny cubicle with no storage space ive unfortunately traveled british airways business class at least 4 times within the last 4 months never again unless there is no other choice by the way the business class lounge south at heathrow is a cattle pen
27,ba shuttle service across the uk is still surprisingly a good product when compared with ba long haul that doesnt always get the best of comments at times its reasonable priced works well fresh crews and no queues or long distances to walk i dont know why they still offer a covid style bottle of water and snack when just stretching to a cup of tea and snack would be great add on for this service currently they have an on line sky cafe but its too fiddly to work or get connected in short trips
28,i must admit like many others i tend to avoid ba long haul where possible due to the many poor reviews but had my first ride on a ba a380 the other day so it was an exception what can i say aircraft immaculate and economy seat really comfortable but thats about it ife didnt work but wasnt that interesting anyway i got the map screenshot for a while lunch was poor quality but plenty of nice white wine and other alcoholic drinks made up for it cabin crew pleasant but poor grooming lets them down some skirts some trouser suits some long sleeves some short some jackets some waistcoat some cardigans on at time and all in all they could have done better i think baggage delivery was really quick summing up well i am still not coming back to ba not yet maybe the old charm will return soon
29,when will ba update their business class cabin  8 across on a 777 it is not so much travelling facing backwards as it were but the cabin staff having to pass food trays across the front of passengers paying business class fares as for having to pay to reserve a specific seat  an antiquated idea the cabin staff were fine food acceptable checkin ok and business lounge breakfast acceptable the lack of space in the seating area small screen and disfunctional entertainment equipment disappointing having to step over the reclining passengers feet is not attractive
30,paid 200 day before flight for an upgrade from economy to premium economy at checkin they could not find my booking so a little wait while they rang someone who explains on the upgrade you get deleted from the system the checkin agent sees took about 5 minutes to resolve seat was nice enough stowage pocket in front a bit small food was reasonably nice shame that the bathroom is all the way back through economy and there is a bit of a queue ife system is good but selection mediocre worst part of the flight is that at cpt so we were on a remote stand and bussed in through passport control quickly but then it took an absolute age to get our luggage which ruined what would otherwise have been a reasonable flight upgrade was worth it at 200 maybe 300 its a long flight but their offers of 2000 or whatever for premium economy is comedy pricing score before the luggage fiasco would have been 7 or 8  10 with the luggage fiasco i cant rate it more than 410
31,ba website did not work weirdly deleted my flight from upcoming flights on the day of departure chaos at cape town airport with hundreds queuing as the computers were down chaos at the gate  no queue management for premium passengers very nice new a350 with smart new club suite champagne warm cabin crew said its impossible to serve it cold which is not true as air france manage it disappointing meal wine served so late after the food you have finished by the time it arrives cheese ice cold and tasteless why cant the champagne  white wine be in the fridge used for the cheese good ife system but mediocre film selection disappointing breakfast overall 3  10 flew air france business the month before which was way better so sad whats become of ba
32,absolutely terrible experience with british airways after a short flight from london heathrow to frankfurt they couldnt get my suitcase to me in time for my next flight on cathay pacific to melbourne despite a 3 hour gap between the two flights told me they would arrange for the suitcase to be transferred directly to melbourne  instead it got to hong kong and left there when they finally tracked it down they sent it back to london all happened over christmas so very stressful yet minimal communication from their team while the plane crew may be lovely the service outside of this has been nothing short of dreadful and if given the option i will avoid flying with them in future
33,ancouver to delhi via london we were booked to fly from vancouver to new delhi via london heathrow on dec 22nd we received an email on dec 20th informing us about the industrial action in the uk i called to find out how it may impact our travel the representative kind of scared us of being possibly stranded during our travel and offered us a full refund we called again to confirm about other options but he did not offer any other solutions we asked to cancel our tickets and he told us about the cancellation fee we booked new tickets with another airline with double the cost as our trip was urgent simultaneously he told us he no longer can cancel our tickets on the system but promised us he will make it happen because he told us we would get a full refund he processed the cancellation 5 hours later he emailed us that the tickets couldnt be cancelled and suggested we cancel our new tickets once he found out they were with another airline we lost 1000 from cancelling the new tickets now the representative claimed that he never said there wont be any services available and asked us why we were worrying about the industrial action and that other arrangements will be made if there were any issues this was new information never given to us before we kept our british airway tickets the next day we asked to speak with the manager and report that we were misguided about the whole situation we never heard back from the manager as we logged in to checkin 15 hours before take off we found that our van  lhr flight was cancelled due to the bad weather in vancouver we did not receive any emails from the airport nor the airline about this change we called ba again and asked about rearrangements for our flight to which they offered rebooking with an additional 7001000 per person price difference and the dates offered were about 7 days after our original flight was supposed to leave additionally to cancel the rest of the flights with them which we could not reach since our first flight was cancelled we had to pay about 1000 cancellation fee to get a refund we were very frustrated with the overall experience and no accommodations nor accountability as they wanted to charge us for any service or changes possible we were on the phone for 15 hours while other flights that we could have booked were getting sold out  the customer service person would take 1520 minutes for real to search up each question or option we asked about it has been a frustrating experience  we lost time and money and it ruined our holidays completely we then demanded to speak to the manager who again did not want to take any accountability for their team and gave us a small discount on the cancellation fee in total we were on the phone with them for 2 days back and forth without any resolutions we felt misguided and misinformed with their unfair policies towards their customers we did not feel taken care of at all we had to pay the price for the misinformation and the flights we did not cancel ourselves after all this trouble we spent christmas without our family and the missed the urgent reasons we were travelling for
34,old a320 with narrow pitch flight perfectly on time with constant announcements from cockpit friendly staff free chips and water quick luggage delivery at t5
35,another ba shambles started off well with excellent check in at first at t5 mid afternoon so avoided the early morning evening scrum into the concorde lounge excellent service again great choice of cocktails wine etc food ok a bit overcooked but pretty reasonable called to the boarding gate chaos people jostling for position to get on the plane people with children under 5 called before the 8 people in first bankrolling the flight and most of them well over 5 we get on to be told that none of the lights in first can be dimmed at all so the lights were on all night it was like being detained and interrogated excellent wine and champagne selection dinner menu handed out ill have the prawn cocktail to start please no you wont as theyve only loaded one for 8 people and the guy in 1a got it i bet he felt like hed won the lottery ok ill have the beef wellington basically a freezing slice of beef with some lettuce mains  ill have the curry no you wont as theyve substituted that with christmas dinner  im going to the maldives to get away from christmas i ended up with short ribs that were inedible no salad starter no water offered no bread roll i just couldnt eat it so basically my husband and i have spent 20000 on 2 return seats to be blinded by lights on and left starving no apologies watch out ba as virgin start flying direct in october as always you rest on your laurels and treat your customers like idiots
36,ba cancelled my flight home to heathrow on dec 19th on the face of it that was sensible as the weather in iceland was appalling however what was not acceptable was that the flight was cancelled only 4 hours before take off time by which time i was already struggling through dreadful driving conditions to get to the airport i got nowhere near before the conditions became too bad if they had taken advice they would have spared everyone the need to try and travel on roads that all ended up closed i am now booked onto the flight on the 21st and downgraded for my sins having checked today as i type they have not cancelled the flight on the 20th despite the road to keflavík being closed do they not check these things any help from ba offered  not really
37,ba cancelled my flight home the last flight of the day into heathrow and tried to push me onto another flight to london city 3 hours later my car was at heathrow i didnt want to try and cross london late at night on public transport with luggage especially as there were rail strikes announced around that time i had to book a flight home with lufthansa which cost 500 for an economy seat but at least it got me home to heathrow all be it another terminal on the friday night so i could get home to family i still have had no news on a refund of the 500 2 months on its such a shame flying ba used to be such a pleasurable experience ba have cancelled or moved one leg of every journey weve booked this year we are regrettably have to use other airlines now which have much better reliability and customer service
38,urned up 35 hours in advance terminal 5 at london heathrow was already carnage 100s of people trying to check in only 5 desks manned long queues at security due to only 4 lines open people stressed pushing shouting and flight delayed by 2 hours according to pilot delay due to suitcases all needing to be loaded missed connecting flight in doha 12 hours wait til next one received a voucher approx 6 for the whole day arrived 1 day later my suitcase didnt arrive with me filed a claim at the desk for 5 days no update no information no offer of compensation and no solution offer i now have a spoilt holiday many personal belongings are gone xmas gifts missing extensive expenses i dont know if i will be reimbursed beware with ba expect low level or zero customer service old planes and zero help if anything goes wrong or missing i will personally avoid ba in future at all costs
39,boarding  at gate at lgw they called group 1 to board we were world traveller plus  group 3 then called anyone in groups 26 whereupon everyone else surged forward why have numbered boarding groups if you dont use them cabin crew  treated passengers as an inconvenience as they moved about the plane at one point a passenger was coming out of the toilet as a crew member approached and the crew member just pushed the door closed pushing them back into the toilet as they went past and without even a word no acknowledgement when you stood aside to let them past service  we were in the final row of six in wt which has a total of 48 seats the lunch meal was brought out and we were the last people to be served not unusual for back row seats but when it came to us there was only the vegetarian option left of the 3 menu options cabin steward said that they had only been given 48 wt meals there was a second hot meal served before we landed again the same server got to us last and again there was only a vegetarian option left i asked if it might not have been possible to commence serving this second meal from back to front so that we had a choice for at least one meal and she said she hadnt thought of that food  some of it was inedible vegetarian cannelloni had pasta so thick and uncooked neither of us could eat it the bread roll was crispy like toast in the bottom half and soft in the top half only thing i could eat was the baby bel in between meal snacks consisted of a 2 biscuit pack of shortbread pretty basic drinks  they ran out of red wine 4 hours into an 11hour flight toilets  there was no toilet accessible directly from the wt section we had to walk halfway down the plane through economy to reach a shared toilet we flew virgin atlantic 2 months before in equivalent premium economy and it was so much better organised boarding sparkling wine or orange on boarding water or orange in ba food options available even in last row seats better food proper glassescups for drinks dedicated toilet access help yourself snacks helpful service from cabin crew we will not be looking to fly ba over virgin in future
40,missing baggage customer service was the worst ive ever experienced i arrived back in phoenix on sunday evening and air tags showed my bags arrived on monday but it took three more days before they were finally delivered i understood that due to delays caused by freezing fog in london my luggage did not make it onto my final flight i filled out the required form at the phoenix airport and then attempted to fill one out online where i received a message saying that the bags had already been reported missing and to enter the tracking code that had been sent to me via email but no email was received i made phone calls daily and was told a message was sent and i should hear back within 24 hours finally the email with the tracking number was received on tuesday night i went online with the tracking number on wednesday and it requested that i provide the same information that i had given them on the form at the airport my luggage was finally delivered on thursday afternoon
41,british airways are not the flag carrier they used to be the checkin staff at the club europe area did not display any premium service and did not provide a good overall service  the galleries south lounge was very busy but the food was very good there is a good array of salads pasta bread and hot food available the festive turkey and ham pie was particularly good the flight was delayed as lhr was very busy on a tuesday evening the boarding process was stressful due to the lack of any queue management system and the majority of passengers congregating around the gate despite ba using a group system to board it took almost 1hr to board 240 passengers the flight itself was good with a good club meal service the bar service was good but it seems that ba have done away with champagne onboard and also in the lounge a menu is handed out prior to departure with a good food offering for the length of flight the food was very good with beef cheek served with vegetables being chosen ba have always excelled with their catering and this has not changed the seat is a standard economy seat with a table in the middle seat for club europe a standard practice for ba the seat was comfortable but with limited leg room the cabin was clean presentable and tidy with no issues the a321 featured wifi which contains a very good landing page with flight information access to the speedbird cafe menu access to bacom and a good pricing strategy for wither just messaging or streaming also overall the airline is still a good world player but with clear improvements needed with their ground staff the cabin manager was very good but the other crew in club did not display the expected behaviours in business class she kept touching her face not making eye contact with passengers and seemed uninterested and like she did not want to be there
42,stupidly tried ba again after a five year gap and paid over 7000 for my wife and i to go to barbados because i thought the new business class layout might rival virgin atlantic on the route about six months ago ba announced they were switching planes to the old antique pushmepullyou layout but it was too late to reorganise our holiday logistics sure enough we suffered the most appallingly uncomfortable flights with no room eight seats across worn out fittings inedible food and surly fas
43,seat horribly narrow 343 on a 777 thankfully the flight was only a quarter full so was able to stretch out food and beverage service was good and it was great having a proper beer not a cup of froth that overflows cabin crew very good booked as a ba ticket that included travel on qatar airways as well
44,glasgow to london delayed by 1 hour my wife and i now accept that a ba flight will be late and delayed very rarely on time as long as you accept this you wont be disappointed planning ahead theres a high risk of delays if you are connecting with another airline with oneworld its extremely risky
45,when i tried to check in online i was offered an upgrade to premium economy for just under 300 i decided to take it but then the website wouldnt allow me to choose seats or to check in i phoned ba and was happy that the call was picked up quickly but i was then told that because i had changed my booking i had to check in at the airport so we turned up three hours before the flight only to be told that our two adjacent aisle seats in economy had been switched to the middle seats in a row of four in premium the checkin agent was helpful but couldnt fix and suggested we try the ba desk airside that desk was understaffed but when we did reach the front of the line we were told to try at the boarding gate at the gate we finally managed to get one aisle seat and one window not sitting together after going through that the flight was surprisingly good with decent food and very good service we flew back economy which wasnt too bad either the flight attendants were friendly and enthusiastic and emma and daniel who looked after us could not have been better ive obviously learned my lesson about late ba upgrades but everything else was good
46,i flew from prague to lhr excellent service attentive staff first drink service then meal service choice of three meals later second drink service in reality  excellent flight couple of days later i flew back from lhr to prague boarding at lhr t5 was a total chaos onboard service cannot really be called service no curtain between business and economy class which later caused people endlessly passing to get to the toilet meal service could not get more unprofessional  5 rows took two guys nearly 30 mins to serve constantly interrupted no people passing to the toilets at this time yet i dont know if there was any meal choice as no one bothers talking to you i was served that  afternoon tea consisting of three canapeslike bites and some drink why would we bother serving you also a scone hardly after 5 mins plates to be taken away  when i asked for my scone it came as a surprise i was not served any no coordination between the crew  crew busy chatting at the galley in reality  the service could not get any worse one just must ask what do you pay the premium price for
47,disappointing again especially on business the service is ancient one world lounges are a catastrophe at heathrow business class seat is similar to economy and electronics are very poor onboard
48,during both the outbound and return flights we were not offered a decent meal we received a tiny bag of chips and a very small bottle of water what outraged us the most is that during the return flight we couldnt even order any food  drink because the card reader didnt function the first and last time well fly with ba
49,i was flying to warsaw for one day of meetings and would be flying back out to miami the next day initially my flight was delayed in denver by 3 hours as such i knew i would miss my connection in warsaw the denver to heathrow flight was terrible the plane was dirty i was in economy i usually fly business or premium economy but on this flight there was no availability the plane was only about 23 full and the service was not good my food was inedible and the seats very cramped although the middle seat was open so that made it tolerable when i arrived in heathrow it was a complete circus passengers everywhere trying to rebook missed connections not only my flight but multiple other flights had missed connections after waiting in line for an hour i was finally rebooked on another ba flight to warsaw this plane was the smallest 3x3 plane i have seen packed in like sardines my bag never showed up so i had to cancel my meeting and now have no bag to fly back to miami ba has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in miami at some point and i can retrieve it from there i mean the bag is sitting in heathrow somewhere with 6 different fight options to get it to warsaw yet ba in unwilling to do anything to expedite getting my bag to warsaw before i leave for miami the next day
